stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,12.26,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,10.7,0,85.58,0,1.07,0,0,0,0,0,0,0,1.07,2.14,0,13.91,0,0,1.07,0,20.33,0,1.07,0,0,35.3,0,0,0,1.07,0,0,0
21Day,2.68,2.68,2.68,14.72,0,1.34,0,0,0,0,0,0,0,0,2.68,0,46.85,0,0,6.69,0,17.4,1.34,0,0,0,37.48,2.68,0,0,0,1.34,2.68,0
3Month,0,17.92,0,12.48,0,0,0,0.64,1.28,2.56,0.96,0.32,0,0,4.16,1.6,35.83,5.76,0,2.24,0.96,0.32,0.64,0.96,0.64,0,26.56,0.96,1.6,0.32,0,0,52.79,0.96
22Month,0,13.67,0.55,4.37,0.55,0,0.55,1.09,0.55,6.01,0.55,0.55,0.55,0.55,0,1.64,28.97,0.55,0.55,2.19,0,0,0,0,0,1.09,4.37,0,3.28,0,0,0,1.64,0
