stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Muscle_cell,Oligodendrocyte,Pancreatic_cell,Spermatocyte,T_cell
3Month,0.32,29.44,40.31,0.32,1.6,0.32,0.64,0.32,0.64
22Month,0,19.13,0,0,0,0,0,0,0
