stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,1.07,0,0,4.28,0,0,0,0,0,0,1.07,0,0,0,0,2.14,2.14,1.07,0,0,0,0,0,0,0
21Day,9.37,0,0,0,0,2.68,0,0,0,0,1.34,5.35,5.35,0,1.34,0,1.34,0,1.34,0,0,0,0,0,0
3Month,0.32,0.64,0.32,3.52,1.28,4.8,1.6,11.84,0.32,4.8,0.64,22.4,0.64,0.64,7.68,0,0,0.96,0,0.32,0.64,10.56,0.32,5.44,1.28
22Month,0.55,0,0,0.55,0.55,11.48,3.83,14.76,0.55,1.64,0,4.37,0,0,1.09,0,0,1.09,0,0.55,0,1.09,0,0,1.09
