stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Radial_glia,Retinal_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0
3Month,0,0,0,0,0,0,0,0,0,84.47,0.32,0,0.64,0,0.32,0.64,0.32,0.32,0,0,0,0,0,0,0.32,0,0,0.32
22Month,16.4,15.85,14.76,0.55,1.09,0.55,0.55,1.09,5.47,2757.33,6.01,0.55,8.75,3.28,1.64,3.28,15.31,0.55,7.11,7.65,0.55,0.55,6.56,3.83,0,1.09,0.55,0.55
