stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,2.14,1.07,0,0,0,0,0,0,0,0,2.14,0,3.21,0,0,0,69.54,12.84,0,0,1.07,0,0,4.28,0,0,0,0
21Day,1.34,2.68,0,4.02,0,1.34,0,1.34,0,0,0,0,0,0,2.68,0,8.03,0,0,0,36.14,4.02,0,0,5.35,0,0,1.34,0,0,0,0
3Month,0,0,0.32,4.48,0,0,0,0,0.32,0,16,0,0.64,0.96,1.28,0.96,4.8,0.96,0,0.64,0.64,0.32,0.96,0,0.32,1.6,13.76,0,0.32,0.32,9.92,1.6
22Month,0,1.09,0,2.73,0,0,1.09,0,0.55,0.55,42.64,2.19,1.64,1.09,0,1.64,4.37,0.55,1.64,0.55,0.55,0,1.09,0.55,0,0,2.19,0,0,0,0,1.09
