stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,4.09,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,1.07,1.07,0,0,0,0,3.21,1.07,1.07,0,0,0,0,0
21Day,0,0,4.02,0,0,0,0,0,0,0,0,0,0,1.34,4.02,0,0,0,0,0,0
3Month,0.32,1.6,0,0.32,2.88,0.32,1.6,0,0,0.32,0.96,0.32,0.32,0,0,0,0,0.64,19.84,8,1.28
22Month,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,0,0
