stage,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Retinal_cell,Retinal_cone_cell
24hpf,0,0,4.09,0,0,0
21Day,0,0,0,1.34,2.68,4.02
22Month,0.55,0.55,0,0.55,16.95,0
