stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,8.56,3.21,0,0,0,0,0,0,0,16.05,0,0,0
21Day,0,0,4.02,0,0,0,0,0,0,0,0,1.34,0,0,4.02,2.68,4.02,0,0,5.35,4.02,0,0,0,2.68,0,0,0,10.71,0,0,0
3Month,0.32,0,3.84,0,0.32,0,1.92,0.32,0,2.88,1.6,0,4.8,0.32,0.96,1.6,1.28,0.32,1.6,0.32,0,0,0,0,0,0.32,0.96,0,4.48,0.32,0.64,1.28
22Month,3.83,1.09,6.01,0,1.09,0.55,1.64,8.75,6.56,54.67,2.19,0.55,7.65,0.55,1.09,3.28,3.83,0,0,0,0,2.19,1.64,0.55,0,0,2.19,3.83,709.01,0.55,0,1.64
