stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,16.35,0,0,0,0,0,0,12.26,0,0,0,0,0,20.43,0,16.35,0,0,0,0,4.09,69.47,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,4.28,2.14,0,0,0,0,0,0,0,0,0,0,1.07,17.12,2.14,0,0,0,0,0,11.77,12.84,0,0,0,4.28,0,0,1.07,0,0,0,0
21Day,0,0,0,24.09,0,0,0,0,0,0,0,0,1.34,1.34,0,0,4.02,5.35,5.35,0,0,1.34,0,0,0,0,0,0,4.02,0,6.69,0,0,0,0,0
3Month,0.32,0,0.32,11.52,0,0.32,0,2.24,5.44,0,0,33.91,16.96,1.6,5.44,1.92,4.48,5.44,9.28,1.6,0,2.56,1.92,1.92,0,0.96,0.96,0,0.64,1.28,329.23,0.96,0,1.6,16.96,4.48
22Month,0.55,3.83,2.19,15.85,0.55,0,0.55,2.19,30.07,3.83,0,144.86,4.92,1.64,7.11,1.64,3.28,15.31,21.32,0.55,6.56,0,0,0,0.55,2.19,0,80.9,0,1.09,211.56,1.64,0.55,0.55,0,4.92
