stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,4.28,1.07,0,0,0,0,0,0,0,0,0,4.28,23.54,0,2.14,0,0,0,0,3.21,1.07,0,0,1.07,0,0,1.07,0,0,0,0,0
21Day,2.68,0,1.34,18.74,0,0,1.34,0,0,0,0,0,0,0,0,6.69,0,2.68,0,0,0,0,1.34,1.34,0,0,2.68,0,0,4.02,0,1.34,0,0,2.68
3Month,0.32,0.32,0.96,41.59,0,0.64,0.32,2.24,4.48,0,34.55,35.83,0.96,7.68,0.96,6.4,7.04,3.52,1.6,0.32,5.12,0.64,0.64,0,1.6,0,3.52,1.92,0.32,54.71,0,0,0.32,10.24,12.16
22Month,0,2.19,3.28,19.68,0,0.55,1.64,7.11,28.97,2.19,138.3,27.88,6.01,9.84,1.09,3.83,12.03,10.93,1.64,1.64,4.37,0,0,0,3.28,2.73,1.09,1.64,0,37.72,0.55,0,0.55,0,4.92
