stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,0,0,1.07,0,0,1.07,1.07,0,0,0,1.07,0,0,1.07,1.07,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,1.34,2.68,0,2.68,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0
3Month,0,1.28,0.96,8.96,0.32,0.32,0.32,0,1.6,1.6,0,13.76,0.96,0,5.12,0.96,2.88,2.56,2.56,2.24,0.32,0.96,0.32,0.32,0,0,0.64,0,0,0.64,30.4,0,0.32,0.96,250.84,0.96
22Month,0,2.73,3.83,2.19,0,0,0,1.64,1.64,0.55,3.28,13.12,0.55,0,6.01,0,0,0,8.2,0.55,0,0.55,0.55,0,0,0.55,0,20.23,0,0,43.73,0.55,0,0,0.55,0
