stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,16.35,110.33,16.35,0,0,0,0,4.09,77.64,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,1.07,0,0,0,0,7.49,0,0,0,0,0,1.07,13.91,2.14,1.07,0,0,6.42,0,5.35,8.56,0,6.42,0,0,1.07,4.28,0,0,0,0
21Day,0,2.68,0,18.74,1.34,0,1.34,0,0,20.08,0,0,1.34,4.02,0,1.34,22.76,8.03,4.02,0,0,34.8,0,1.34,4.02,0,2.68,2.68,0,2.68,1.34,1.34,0,0,1.34
3Month,0,4.8,0.32,14.72,0,0,0,0.32,0.32,109.74,0,8.32,45.43,0,3.52,1.92,4.16,10.56,2.56,0.64,0.32,1.28,0.96,0,0,0.64,0,1.92,0.32,84.15,5.12,0,2.24,4.16,1.6
22Month,0,2.19,0,7.65,0.55,0.55,0,0,0,67.79,0.55,23.51,30.07,0,2.19,0,0,42.64,5.47,0.55,0.55,2.73,0,0.55,0.55,0.55,0,0.55,0,22.41,11.48,0,0.55,0,1.09
