stage,Enterocyte,Muscle_cell,Neural_cell,Retinal_pigment_epithelial_cell,Spermatocyte
72hpf,0,0,1.07,0,0
21Day,0,1.34,0,1.34,0
3Month,0.32,0,0,0,0.64
