stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,22.47,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,40.16,2.68,0,0,1.34,1.34,1.34,0,0,1.34,2.68,0,0
3Month,0.32,0,0.64,5.76,0.64,1.92,0,7.68,2.88,0.32,2.56,0.32,1.92,1.6,1.28,0.64,0,0.32,0.32,0.32,0.32,0,0.32,0.32,1.92,0.32,0,0,0,0.32,2.88
22Month,0.55,2.73,0,4.92,0.55,3.28,3.28,46.47,1.09,0,8.2,0.55,1.64,6.56,2.73,0,2.19,0.55,2.19,0,0,1.09,0,0.55,2.73,0.55,0.55,0,0,0,1.64
