stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,4.09,81.73,0,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,2.14,5.35,1.07,0,0,0,0,0,0,0,0,0,0,4.28,1.07,23.54,0,0,0,29.95,28.88,0,13.91,0,0,5.35,1.07,0,0,0
21Day,5.35,0,0,8.03,0,2.68,1.34,0,0,0,0,0,0,1.34,0,1.34,1.34,1.34,36.14,0,0,12.05,25.43,16.06,0,18.74,2.68,0,1.34,0,0,0,0
3Month,0,0.64,0,4.16,0,0,0,0.32,0.64,1.28,0.32,1.6,0.96,0.32,0.64,0,0.64,0.64,5.44,0.32,0,0,0,0,0.32,0.32,0,9.6,0,0,1.28,0.64,0.64
22Month,0,0,0.55,1.64,0,0,0,0,0,0.55,0,9.84,0,0,2.73,0,0,1.09,3.83,1.09,0.55,0,0.55,0,0,0,0,13.12,0,0,0,0,0
