stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,56.7,5.35,1.07,0,0,0,1.07,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,5.35,0,0,46.85,0,2.68,2.68,0,0,1.34,0,0
3Month,0.32,0,1.92,0,0,2.24,0.32,0,0.64,0,0,0.64,1.92,0.64,0.32,0.32,0,0,0.32,0.64,0,0,0.32,0.32
22Month,0.55,0.55,0.55,1.64,1.09,22.96,0.55,0.55,1.64,0,0.55,0,3.83,0,0.55,0,0,0,0,0,0.55,0,0,0
