stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,20.43,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0,0,4.09,12.26,0,0,0,0,0
72hpf,19.26,1.07,7.49,155.12,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,3.21,1.07,0,0,0,1.07,0
21Day,12.05,0,2.68,115.11,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,4.02
3Month,0.96,0,3.52,0,2.24,0,0.32,0.32,13.12,0.32,0,0.32,0.32,1.28,0.96,0.32,0.64,0,0.32,0,0,0.32,0.32,2.24,0,0
22Month,0,0,1.09,0,0,0,0.55,0,36.08,0,0.55,1.64,0.55,0,0.55,1.64,0,1.64,0,0,0,0,0,0.55,0,0
