stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,1.07,0,0,2.14,0,2.14,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,0,5.35,1.07,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,16.06,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0,1.28,1.92,15.04,0,0,0,0,0.32,2.88,1.6,8,79.35,0.32,2.88,0,0.96,2.24,5.76,0.96,0,0.64,0,0,0,0,0,0,0.64,0,0.32,2.88,0,0,0,0.64,0.32
22Month,3.28,71.07,25.69,153.61,0.55,0,2.19,6.56,28.97,233.97,54169.1,1251.84,228.5,13.67,309.41,19.68,22.41,73.25,112.06,0,29.52,16.95,1.09,15.85,2.19,45.37,6.56,11.48,1.64,7.11,0,4.37,18.59,25.15,0.55,7.11,40.45
