stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,20.43,0,20.43,4.09,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,216.58,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,44.93,0,13.91,2.14,2.14,0,0,0,0,0,0,0,4.28,4.28,1.07,89.86,0,3.21,0,27.81,35.3,0,0,42.79,0,0,37.44,1.07,0,0,0,0
21Day,4.02,53.54,1.34,24.09,2.68,2.68,0,1.34,0,0,1.34,1.34,2.68,0,8.03,5.35,156.61,0,10.71,0,12.05,12.05,0,1.34,72.28,5.35,0,13.39,0,6.69,1.34,0,0
3Month,0,29.12,0,8,0,0,0.96,1.6,0,8.96,0.32,0,0.96,0.32,13.12,1.92,19.84,10.56,4.48,0.64,0.96,0,0.32,0.64,0,0.32,1.92,0.32,0,0,1.28,0.64,0.32
22Month,0,66.69,1.09,1.64,0,0,1.09,2.19,22.96,20.77,2.73,1.64,1.64,0,1.64,6.01,17.49,2.19,3.28,1.09,0,0,0,0,1.09,0,0.55,0,0,0,0,0,0
