stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Neural_cell
21Day,1.34,1.34,0,0,0,0,0,0
3Month,0.64,0,0,0,0,0,0,0
22Month,0,0,0.55,0.55,15.85,0.55,0.55,3.83
