stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,24.52,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,0,0,0,0,0,0,0,0,0,0,7.49,0,0,1.07,1.07,0,7.49,3.21,2.14,1.07,0,0,1.07,0,0,0,0,0,0
21Day,0,5.35,9.37,1.34,0,0,0,0,0,0,0,0,4.02,0,0,1.34,2.68,0,1.34,2.68,1.34,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0,16.64,39.67,0,0.64,0.32,26.88,1.6,0,111.34,1.6,0.32,17.92,13.44,1.92,3.52,1.6,0.32,24,96.94,0.32,0.64,3.84,0.32,0,0,6.72,2.88,0,0.32,2.88,1.28
22Month,2.73,13.12,32.25,0,0.55,0,19.13,1.64,0.55,343.3,0,0,29.52,1.09,0,0.55,4.37,3.28,12.57,4.37,0,0,2.73,0.55,1.09,0,6.56,1.64,1.64,0,0,0
