stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,0,0,4.28,2.14,2.14,0,2.14,3.21,0,0,0,0,0
21Day,10.71,0,1.34,0,0,9.37,4.02,0,0,2.68,8.03,0,0,0,0,0
3Month,2.56,0,0,0.64,0.64,6.08,1.28,0,0,3.52,0.32,1.6,0.32,0.96,1.6,0.64
