stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
21Day,1.34,0,1.34,1.34,1.34,0,0,0,14.72,0,2.68,1.34,0,0,1.34,1.34,0,0,0,9.37
3Month,0,1.28,0,0,0,0,0.32,0.32,0,0,0.32,0,0,0,0,0,0.64,0.64,0.32,2.88
22Month,0,0.55,0,0,0.55,0,5.47,0,0.55,0.55,0.55,0,0.55,0.55,0,0,0,0,0,5.47
