stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,8.17,0,0,0,0,0,0,0,0,0,0,49.04,4.09,0,4.09,0,0,12.26,0,363.69,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,5.35,27.81,3.21,0,0,0,0,0,0,0,0,3.21,5.35,0,0,0,0,2.14,24.61,37.44,0,1.07,5.35,0,0,43.86,0,0,0,0
21Day,0,0,0,6.69,20.08,1.34,0,0,0,0,0,0,0,0,2.68,6.69,0,1.34,0,0,0,1.34,9.37,0,1.34,1.34,4.02,2.68,13.39,9.37,0,0,0
3Month,0.64,1.28,2.24,79.03,3.2,0,0.64,0.32,5.12,7.68,36.79,8.32,0.32,16.64,17.92,6.72,7.36,11.84,1.28,3.2,5.12,14.4,0.32,2.56,3.2,0.96,5.76,106.86,1.6,1.28,4.48,1711.41,7.04
22Month,0,0,0,29.52,0,0,0,0,0.55,0.55,8.2,0,0,1.64,1.09,0,0.55,1.09,0,0,1.09,1.09,0,0.55,0,0.55,0,14.76,2.19,0,0,8.75,0
