stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,34.23,0,0,0,0,0,1.07,3.21,0,0,2.14,2.14,0,0,0,0
21Day,0,0,1.34,48.19,1.34,0,0,0,5.35,0,0,0,2.68,0,1.34,0,2.68,0,0
3Month,0,0,0,0.96,0,0,1.92,0,0.32,0,0,0,0,0,0,0,0,0.32,0
22Month,0.55,0,0.55,0.55,0,0.55,4.37,0.55,0,0.55,0.55,0.55,0,0,0,1.64,0,0,1.09
