stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,44.95,0,0,0,0,0,0,0,0,0,0,224.75,0,8.17,0,0,0,4.09,89.9,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,0,0,3.21,1.07,0,0,0,0,0,0,0,0,2.14,18.19,0,9.63,0,1.07,0,11.77,9.63,0,0,0,5.35,1.07,0,1.07,0,0,0,0
21Day,1.34,0,0,5.35,1.34,4.02,0,0,0,0,0,0,0,0,6.69,2.68,13.39,0,0,1.34,2.68,2.68,0,0,0,5.35,1.34,0,2.68,0,0,0,0
3Month,0.32,1.28,0,27.52,0,0,0,0.64,0,4.16,0.64,0.32,0.96,1.28,0.64,0,2.56,0.32,0,0,0,0.32,0.96,0,0,0.32,0.64,45.11,0.64,0.32,0.32,1.92,2.24
22Month,0,2.19,0.55,7.11,0,0,1.09,1.09,1.64,28.97,0,0.55,4.37,0,0.55,1.09,8.2,0,0.55,0,0,0,0.55,0.55,0.55,0,0,7.11,0,0,0,0,0.55
