stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,8.17,24.52,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,2.14,1.07,2.14,0,0,0,0,0,0,0,1.07,26.74,1.07,6.42,0,0,0,155.12,6.42,0,6.42,0,0,1.07,1.07,0,0,0
21Day,4.02,0,0,33.46,0,4.02,1.34,0,0,0,5.35,0,1.34,0,20.08,1.34,21.42,0,0,1.34,78.97,6.69,0,4.02,1.34,4.02,9.37,4.02,0,0,0
3Month,0,0.64,0.32,12.16,0,0,0.32,0,0.32,0,4.8,0.32,0.96,0,1.92,0.64,4.48,0,0,0,0.96,0.32,0.96,0.32,0,8.32,1.28,1.92,0,1.92,0.96
22Month,0,1.64,0.55,4.37,0,0,0,0.55,3.83,67.79,28.43,0,4.37,0,1.09,2.73,2.19,0.55,0.55,0.55,2.73,0,0,0,0,22.41,1.64,1.64,1.64,0,1.64
