stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,36.78,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,3.21,2.14,4.28,0,0,0,0,0,0,0,0,0,3.21,0,5.35,0,0,150.84,21.4,0,2.14,0,2.14,0,1.07,4.28,1.07,0,0,0,0,0
21Day,0,0,2.68,1.34,4.02,0,6.69,0,0,0,0,2.68,1.34,0,1.34,2.68,2.68,0,0,64.25,16.06,1.34,1.34,0,9.37,1.34,2.68,2.68,0,4.02,0,0,0,1.34
3Month,0.64,0.32,6.08,0.32,0,0.64,1.28,0.64,1.92,5.76,1.92,0.32,2.88,0.64,1.28,0.96,10.88,5.44,0.64,8.96,0,7.36,1.6,0,0,0.96,64.63,1.92,0,0,0.64,0.32,70.39,11.84
22Month,0,2.19,2.73,0,0,0,1.64,0.55,6.01,16.4,2.19,1.09,0,0,0,1.64,27.88,1.64,0.55,6.01,1.09,7.65,5.47,0.55,0,0,35.53,3.83,1.09,0,0,0,0,6.56
