stage,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,31.02,0,1.07,0,0,1.07,0,0
21Day,0,0,0,0,0,0,1.34,4.02,2.68,0,0,0,0,0,0,0
3Month,0,0.64,1.28,0.32,1.28,0,0,0.96,0,0.32,0,0.32,10.24,1.6,0.32,0.32
