stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,16.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,2.68,0,1.34,0,0,0,0,0,0,48.19,0,0,1.34,0,2.68,0,5.35,0,0,1.34,0,2.68,1.34,1.34,0,0,4.02,4.02,0,0,0,0,0,0,0
3Month,2.24,4.8,18.88,196.45,0.64,0,16.96,0.64,0,27.84,24.64,1.28,5464.73,30.72,2.88,87.99,26.56,61.11,21.12,31.36,7.68,7.04,20.8,12.48,24.96,3.2,12.8,6.4,0,2.24,63.99,0.96,28.16,7.68,0.32,12.48,11.84,18.88
22Month,2.19,9.84,14.76,81.45,0.55,0,14.21,1.64,0.55,8.75,20.77,8.75,8060.97,6.56,2.73,66.15,5.47,18.04,24.05,29.52,0.55,113.7,6.56,0,18.04,0,18.59,11.48,8.75,0.55,13.12,0,10.93,35.53,2.19,1.09,0.55,6.56
