stage,Cardiomyocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,4.09,0,53.12,0
72hpf,2.14,0,1.07,1.07,0,1.07,0
21Day,0,0,1.34,1.34,0,0,0
3Month,0,0,0,0,0.32,0,0.32
22Month,0,1.09,0,0,0.55,0,0
