stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,0,1.07,0,0,0,0,2.14,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,2.68,0,0,26.77,4.02,0,1.34,0,0,0,0,1.34,0,12.05,1.34,0,2.68,21.42,10.71,0,0,0,0,21.42,2.68,0,0,0,1.34,2.68,0,0,1.34,0,0,41.49
3Month,0,12.48,0.64,80.63,0,2.56,0,0.32,3.52,11.84,0.32,20.16,19.2,5.12,25.28,4.48,6.72,20.16,11.84,1.92,0,23.36,2.56,1.92,0,3.52,0,0,0.64,2.24,11.84,0.32,0.64,3.2,10.56,342.67
22Month,0.55,23.51,1.09,102.77,0,3.83,0,0,6.56,24.05,10.93,63.41,9.84,19.68,71.61,1.64,1.64,44.28,34.44,0.55,2.19,28.43,0.55,0.55,0,7.11,1.09,0.55,0,2.19,14.21,0,1.09,0.55,0,336.74
