stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0
72hpf,0,0,0,0,0,1.07,1.07,1.07,0,0
21Day,2.68,1.34,0,0,0,1.34,0,0,0,0
3Month,0.32,0,0,0.32,1.6,0,0,0,0,0.32
22Month,0,0,1.09,0,0.55,0,0,0,0,0
