stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,8.17,0,8.17,0,0,0,0,0,0,0,0,0,4.09,0,0,130.76,0,0,0,12.26,167.54,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,8.56,0,7.49,3.21,0,0,0,0,0,0,0,1.07,2.14,7.49,0,9.63,0,0,0,748.85,35.3,0,6.42,0,0,5.35,1.07,3.21,1.07,0,0
21Day,1.34,1.34,2.68,9.37,5.35,1.34,0,0,0,1.34,0,0,0,4.02,1.34,1.34,10.71,0,1.34,0,361.4,16.06,0,2.68,6.69,1.34,2.68,0,1.34,2.68,0,2.68
3Month,0,0.64,0.32,3.84,0,0,0.96,0.64,0,8.32,0.64,0,2.24,0,7.68,1.28,3.2,0,0,0.64,3.84,0,0,0.32,0.96,1.92,2.88,0,0,0,0.32,0.64
22Month,0,1.64,0,1.64,0,0,0.55,1.09,2.19,36.63,1.09,1.64,4.92,0.55,4.37,1.64,1.64,1.09,1.09,0,2.19,0,0.55,0,0,1.64,7.65,1.09,0,0,0,0.55
