stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,4.09,4.09,0,8.17,0,0,0,0,0,0,0,0
72hpf,12.84,1.07,0,6.42,1.07,3.21,0,0,0,0,0,0,0,0,0,7.49,0,16.05,0,1.07,3.21,0,404.38,20.33,5.35,0,9.63,0,0,12.84,0,1.07,0,0,0
21Day,5.35,0,0,40.16,1.34,13.39,0,2.68,0,0,0,0,5.35,0,4.02,5.35,2.68,34.8,0,0,6.69,0,250.31,28.11,4.02,5.35,10.71,2.68,5.35,8.03,1.34,4.02,1.34,0,2.68
3Month,0,0.64,0.32,5.44,0.32,0,0,0,2.24,0,1.28,0.96,0.32,0.64,1.92,1.6,2.56,3.52,1.6,0,0.32,0.32,4.8,0,1.6,2.56,0,0.32,10.24,0,0,0,0,3.84,3.52
22Month,0,1.09,0,8.75,0,0,0.55,0.55,2.73,3.83,13.12,2.19,2.73,1.09,2.73,0,7.11,3.28,0,0.55,2.19,0,6.56,0.55,9.84,17.49,0,0,6.01,16.4,0,0,0.55,0,1.64
