stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.67,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,10.71,1.34,1.34,0,4.02,0,0,0,1.34,0,4.02,0,0,45.51,111.1,1.34,0,0,0,0,0,1.34,2.68,0,1.34,0,2.68,0,0
3Month,0.32,0.32,3.2,0,0,0.32,0,0.32,15.04,0,4.48,10.88,0.64,2.56,0.64,0.96,147.18,0.32,0,0.64,0.32,0.32,0,0,0,1.6,0,0,0,0.32,1.28
22Month,2.73,0.55,4.92,0,0,0.55,0,1.09,50.29,1.09,16.95,20.23,5.47,3.28,0,2.19,1027.71,6.01,2.73,0.55,0.55,0,0.55,0,4.92,1.64,0,1.09,0,0,3.83
