stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,20.43,0,0,0,0,89.9,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,6.42,2.14,0,2.14,0,1.07,0,0,0,0,0,0,0,0,0,0,3.21,0,375.5,0,0,0,114.47,18.19,0,0,0,38.51,0,1.07,4.28,0,0,0,0,0
21Day,14.72,0,1.34,10.71,2.68,5.35,0,0,0,0,0,2.68,0,4.02,1.34,0,14.72,1.34,1301.05,0,0,0,29.45,2.68,0,0,0,17.4,8.03,4.02,1.34,2.68,1.34,0,0,0
3Month,0.32,3.52,0.32,15.04,0,0,0.32,0.32,1.6,3.84,0,16.96,7.68,0,5.12,0.64,4.8,1.92,492.4,1.28,1.92,0.64,2.56,0.32,0,0.64,0,0.64,2.56,118.06,0.32,0,0,0.32,283.16,2.56
22Month,0,3.83,0.55,1.09,0,0,0.55,0,0.55,2.19,0.55,16.4,1.64,0,6.01,0,0.55,1.64,33.35,0,0,0,1.09,0,3.28,0.55,2.73,0,0,20.77,0,0,0.55,0,1.09,1.09
