stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,20.43,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,2.14,1.07,1.07,2.14,0,0,0,0
3Month,0.32,2.24,0.32,4.8,0.64,0.64,0.32,0.64,0,0.32,0.32,0,0,0,0.64,102.7,9.6,0.32
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,0
