stage,Cardiomyocyte,Epithelial_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,4.09,0,0
72hpf,1.07,0,1.07,3.21,0,0,0,1.07,1.07
21Day,0,2.68,0,0,1.34,2.68,0,1.34,0
