stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0.96,0.64,0,2.24,6.08,0.64,0.32,0.32,0,0.32,0.32,0.64
22Month,0.55,0.55,1.09,12.03,1.09,0.55,1.09,0,0,0,0,0
