stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,23.54,0,0,0,0,0,2.14,0,0,0,0,1.07,0,0,0,0,0,0
21Day,1.34,0,0,18.74,14.72,4.02,0,0,0,0,0,62.91,0,0,1.34,303.85,1.34,0,0,0,0,10.71,1.34,1.34,0,4.02,2.68,0,1.34,0,0,0,29.45
3Month,0.32,0.64,0.32,6.08,0,0,0.64,2.56,0,6.4,1.6,1.28,2.56,0.64,1.28,236.44,14.72,0,0,2.88,0.64,0.32,0,0.32,0,0,0.96,1.92,0.32,0.32,0.64,0.64,12.48
22Month,0,1.64,0.55,6.01,0,0,0,6.56,6.01,62.87,1.64,3.28,3.28,0,1.09,450.99,25.15,0.55,2.19,0.55,0,0.55,0,0.55,4.92,0.55,0.55,8.75,0.55,0,0,0,25.69
