stage,Epithelial_cell,Immune_progenitor_cell,Mesenchymal_cell,Nephron_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,1.07,1.07,0,0,0
21Day,0,0,0,0,1.34,0
3Month,0.32,0,0,0.32,5.76,1.6
