stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,1.07,161.54,12.84,1.07,2.14,0,0,1.07,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,1.34,0,1.34,1.34,0,46.85,4.02,0,0,0,1.34,1.34,0,0,1.34
3Month,0,0,2.56,0,0.64,1.28,0.64,8.32,0.96,0.32,2.56,0.64,0,0.96,1.92,0,0.32,0,0,0,0,0.64,33.27,0.32,0.64,72.31,0.96
22Month,1.09,0.55,0.55,0,0.55,0,2.73,22.41,1.09,1.09,2.73,0,0,6.01,0.55,0.55,0,1.09,0,0,0,0,2.19,0,0.55,0,0.55
