stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.64,0,0,0,0,0,8.17,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,0,2.14,0,0,0,1.07,0,1.07,0,1.07,2.14,17.12,5.35,0,0,0,0,20.33,14.98,0,167.96,0,2.14,0,0,3.21,0,0,0
21Day,0,0,2.68,5.35,5.35,8.03,0,0,0,0,0,8.03,0,0,1.34,5.35,1.34,0,0,0,0,13.39,4.02,0,428.33,0,4.02,4.02,0,1.34,0,0,1.34
3Month,3.84,0,5.12,0,0,0,0.96,0.64,0,7.68,4.16,0.32,1.28,0.32,1.6,12.48,1.6,0.64,0,0.64,0.64,0.32,0.32,0,320.27,0,0.32,1.28,0.96,0,2.88,17.6,3.52
22Month,3.83,0.55,4.92,0,0,1.09,1.64,7.11,0.55,34.99,3.28,1.64,1.64,0,3.28,15.85,6.01,0,2.73,1.09,0.55,2.19,0,0.55,2078.93,1.64,1.09,0,0.55,0.55,0.55,0,1.64
