stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Radial_glia
72hpf,1.07,0,0,0,0,0,0,1.07,0,12.84,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,1.34,0,1.34,0,1.34
3Month,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0.55,6.56,0.55,1.09,0.55,0,0.55,0.55,0.55,0,0.55,0
