stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,19.26,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,1.07,0,0,0,0,0,0,0,0
21Day,9.37,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34
3Month,232.28,5.76,0,0.32,0.32,1.6,0.64,0,7.04,1.6,3.84,0.96,1.6,1.6,1.92,0.64,0,0.64,0.32,0,0.64,0.64,1.6,1.28,1.28,8.32,0.64,1.28
22Month,214.29,2.73,0,0,0,0.55,2.19,1.64,17.49,1.09,2.19,0,0.55,1.64,2.19,0,0.55,0.55,0.55,0,0.55,0,0,0,1.64,2.73,0,1.64
