stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,8.56,2.14,0,0,1.07,0,0
21Day,1.34,1.34,0,0,0,0,4.02,0,2.68,0,0,4.02,0,1.34,0,0,0,0
3Month,0.64,0,0.32,0,2.24,0.32,0.64,0.64,0,0.64,0.64,1.28,0,0,0.32,2.56,0.32,0
22Month,0.55,0,0,1.09,1.64,1.09,2.19,1.09,0,1.09,1.09,0.55,0,0,0.55,1.09,0,0.55
