stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,8.56,0,0,0,0,0,0,0,0,0,1.07,4.28,4.28,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,20.08,0,0,0,0,0,0,0,1.34,0,0,1.34,14.72,0,0,0,0,0,1.34,1.34,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0.64,0.64,17.28,0.32,0.32,0.96,0.64,0.32,9.92,1.6,0,2.24,0.64,4.8,19.2,2.24,0.32,0,0.32,0.64,0.32,0,0.32,0.64,0,0.64,0,1.92,0,0.32,0.64,1.6
22Month,1.09,1.64,1.09,8.2,1.09,1.64,1.64,10.39,8.75,156.34,2.73,2.73,12.57,0,3.28,14.76,13.12,0,3.28,0.55,0,0.55,0,0.55,0,0.55,0.55,0.55,1.09,0,0,0,0.55
