stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,1.07,0,0,0,1.07,0,4.28,0,0,0,1.07,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.32,4.8,0.64,0.96,3.52,0.32,2.24,0.64,0,0.64,2.56,0,0.32,0.32,0,0,0.32,0,0,6.72,0,0.32,21.76,0.64
22Month,2.73,2.19,0.55,3.83,22.96,1.64,0,0.55,0,2.19,2.73,0.55,0,0,1.64,0,0,55.76,0,46.47,0,1.09,0,0.55
