stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage
21Day,0,0,0,0,0,0,1.34,0
3Month,0.64,16.64,0.64,0,0.32,0.32,5.76,0.32
22Month,0,20.23,0,0.55,3.28,0,10.39,0
