stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,36.78,0,20.43,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,20.43,49.04,0,0,0,0,12.26,2819.62,0,0,12.26,0,0,0,0,0,4.09,0,0,0
72hpf,27.81,0,13.91,1.07,18.19,0,0,0,0,0,0,0,0,0,0,8.56,20.33,2.14,17.12,0,1.07,1.07,1.07,723.18,1217.42,0,4.28,18.19,0,0,112.33,0,1.07,4.28,0,0,0
21Day,21.42,0,12.05,0,28.11,0,4.02,0,0,0,0,1.34,0,1.34,4.02,1.34,17.4,1.34,6.69,0,0,2.68,0,352.03,539.43,2.68,1.34,12.05,28.11,0,52.2,6.69,8.03,1.34,0,0,4.02
3Month,0,0.64,5.12,0.32,0,0,0,0.32,0.64,0,0,8.64,0.64,0.32,1.28,0.96,8.96,0,0.64,0.64,0,0.64,0.96,4.8,13.12,0.64,0.32,0.96,0,7.04,2.24,0,0,0.32,0.32,44.47,1.6
22Month,0,2.19,8.75,0,0,0.55,0.55,0.55,1.64,4.92,0,41.55,1.09,0,3.28,0,1.64,4.92,3.28,0,2.73,1.09,0,3.83,19.68,1.64,4.37,0,0,8.75,1.64,0.55,0,0,0,0.55,0.55
