stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,44.95,318.74,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,33.16,5.35,0,38.51,4.28,26.74,0,0,0,0,0,0,0,0,0,0,8.56,69.54,2.14,21.4,0,3.21,1.07,0,4802.29,202.19,36.37,13.91,56.7,0,2.14,59.91,4.28,3.21,5.35,0,0
21Day,17.4,2.68,2.68,282.43,4.02,40.16,0,4.02,1.34,1.34,1.34,0,2.68,4.02,6.69,6.69,2.68,18.74,12.05,49.53,0,0,6.69,0,1770.88,57.56,20.08,16.06,17.4,66.93,5.35,21.42,9.37,17.4,4.02,0,12.05
3Month,0,0,0.64,108.78,0.32,0,0.32,0.32,1.6,3.52,0,0,10.88,6.72,0.64,6.4,5.12,1.92,1.92,3.2,0.64,0,0.96,2.56,214.37,1.92,69.43,0.32,0.32,0.96,13.44,1.28,0,0,0,2.24,2.24
22Month,0.55,2.19,1.09,61.23,0.55,0,2.19,0,0.55,7.65,1.64,0,56.85,1.09,1.09,6.01,0.55,1.64,4.92,4.37,0,1.09,0,0,94.57,1.09,92.93,1.64,1.09,1.09,19.13,14.21,2.19,0,0,0,2.19
