stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,4.09,24.52,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,5.35,1.07,0,7.49,2.14,6.42,0,0,0,0,0,0,0,0,4.28,13.91,1.07,8.56,0,0,0,759.55,14.98,3.21,2.14,19.26,0,1.07,3.21,1.07,0,2.14,0,0,0
21Day,1.34,0,1.34,12.05,1.34,2.68,0,0,0,0,2.68,0,2.68,0,0,4.02,0,14.72,0,0,0,159.29,1.34,9.37,2.68,1.34,0,6.69,2.68,1.34,2.68,0,0,0,0
3Month,0,0.32,0.64,18.88,0,0,0,1.92,0.96,0,7.36,0.96,0,0.64,0.64,2.24,1.6,1.6,0.64,0,0.32,2.88,0.64,12.48,0,0,0.32,35.83,0,0,0,0.32,0.96,29.76,0.32
22Month,0,0,0,3.83,0,0,0,0,2.19,0.55,22.41,0,0.55,2.19,0,0,0.55,2.19,0,0.55,0,2.19,0.55,6.01,0,0,0.55,49.75,0,0,0,0.55,0,1.09,0.55
