stage,Epithelial_cell,Goblet_cell,Keratinocyte,Neural_progenitor_cell,Smooth_muscle_cell
24hpf,32.69,0,0,4.09,0
72hpf,1.07,0,1.07,0,0
21Day,2.68,0,0,0,0
3Month,0.96,0.32,0,0.32,0.32
