stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,3.21,0,1.07,0,0,0,3.21,0,0,0,0,6.42,0,0,0,0,0,0
21Day,1.34,0,4.02,0,0,0,0,0,1.34,0,0,0,0,4.02,0,8.03,0,2.68,0,0,1.34,0,5.35,0,4.02,0,0,0,0,0,0
3Month,0,0.32,4.16,0,0,0.64,0.96,0,409.22,1.28,0,3.84,2.56,1.28,0.96,1.92,1.28,1.92,0.32,0.32,0,0.32,0.64,0,0,4.8,2.56,0,0.32,0.96,1.6
22Month,1.64,1.64,7.11,0.55,0.55,1.09,4.37,0.55,1892.52,1.09,1.09,10.39,1.09,0.55,2.19,7.11,46.47,1.09,0,0.55,0,0,0,2.73,0,6.56,1.64,0.55,0.55,0,1.64
