stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,44.95,0,0,0,0,0,0,0,0,0,0,0,4.09,0,32.69,0,0,0,0,4.09,69.47,0,0,20.43,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,8.56,1.07,0,0,0,0,0,0,0,0,0,2.14,16.05,0,20.33,0,0,1.07,0,2.14,7.49,0,0,51.35,0,0,0,3.21,0,0,0
21Day,4.02,0,0,10.71,1.34,1.34,0,0,0,0,2.68,0,0,0,0,13.39,0,38.82,0,1.34,2.68,0,4.02,4.02,0,0,38.82,1.34,0,0,0,0,0,0
3Month,0,3.2,0.32,13.76,0.32,0,0.32,10.88,1.92,0,8.96,1.28,0,1.6,1.92,10.88,1.28,17.28,2.56,0,1.6,0.32,0,0,0.32,0.32,1.28,0.32,11.2,0.32,0,7.68,19.52,1.28
22Month,0.55,0.55,0.55,6.56,0,0,0,1.64,2.19,1.09,24.6,0,1.09,1.09,0.55,0.55,1.09,6.01,0,0,1.09,0,0,0,0,0,0.55,0,4.37,1.09,0,0.55,0,0
