stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,28.6,0,4.09,0,0,0,4.09,0,0,0,0,0,4.09,8.17,106.25,0,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,5.35,3.21,0,0,0,0,0,0,0,0,0,1.07,9.63,1.07,0,0,0,0,6.42,0,4.28,0,5.35,0,0,0,8.56,6.42,3.21,0,0
21Day,1.34,1.34,0,6.69,4.02,2.68,0,4.02,0,0,0,16.06,0,0,2.68,29.45,20.08,1.34,0,8.03,0,6.69,2.68,1.34,1.34,0,0,0,0,84.33,203.46,8.03,0,10.71
3Month,0.64,2.56,0,9.92,0,0,0.32,13.12,0,7.04,8,0.32,2.24,0.64,23.36,24.32,44.79,3.52,0.32,2.88,0.32,0,0,1.92,0.32,0.32,0.64,1.6,0,0,0,0.96,2.56,12.8
22Month,0,2.19,1.09,3.28,0,0,0,8.75,0.55,25.69,6.01,0.55,1.64,0.55,3.83,32.25,21.87,0,1.09,1.09,0,0.55,0,13.12,0,0,0.55,0.55,1.09,36.63,0,0,0,15.31
