stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Osteoblast,T_cell
72hpf,0,0,0,0,0,2.14,0,0,0
21Day,0,1.34,0,0,0,0,0,1.34,0
3Month,0,1.92,0,0.32,1.28,0,0.32,0,0
22Month,0.55,1.09,1.64,2.19,0,0,1.09,0,0.55
