stage,Endothelial_cell,Epithelial_cell,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0.32,1.92,0.96,0,0.64,0.32,0,0,0.32,0,3.2,0.96,3.2,0.32
22Month,0,0,0,0.55,0,0,0,0,0,0,2.19,0,0,0
