stage,Enterocyte,Erythrocyte,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
72hpf,0,0,1.07,0,0,1.07,0,0
21Day,1.34,4.02,0,1.34,1.34,0,0,0
3Month,0,0,0,0,0,0,0.32,0.32
