stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,24.52,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,7.49,4.28,1.07,0,1.07,0,0,0
21Day,1.34,0,6.69,0,1.34,0,0,0,0,0,0,0,2.68,0,1.34,0,1.34,0,5.35,0,2.68,0,0,0,0,0
3Month,0.64,0,6.08,0.64,0,0.32,0.32,0,4.16,0.32,0.64,0.32,1.92,0.64,1.6,0,0,0.64,0,0,0,0,0,0,0.32,0.64
22Month,0,0.55,2.19,0,0,0.55,1.64,0.55,6.56,0,2.19,1.09,2.19,1.09,1.09,0.55,0,0,0.55,0,0,0.55,0,0.55,0,0
