stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,12.26,57.21,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,0,0,0,0,0,0,0,1.07,4.28,0,1.07,0,3.21,0,0,5.35,8.56,0,0,0,5.35,0,0,1.07,0,0,0
21Day,2.68,0,0,2.68,0,1.34,0,0,5.35,0,9.37,1.34,0,0,6.69,0,0,0,2.68,0,6.69,1.34,1.34,0,13.39,4.02,0,0,0,0,0
3Month,0,0.32,0.64,7.36,0.32,7.68,0.96,0,103.34,0.64,33.59,0.96,2.88,0.96,5.44,1.28,0,1.28,0.32,0,0,0.96,0,0,0,0.64,2.24,0,0.32,2.88,1.92
22Month,0,0,0.55,1.64,0,3.83,0,0.55,113.7,0,20.77,0,1.64,1.64,1.64,0,0.55,0,0,0,0,0,0,0.55,0.55,0,0.55,0,0,0,0
