stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,28.6,4.09,0,592.53,0,0,0,0,0,0,0,0,0,0,0,0,0,3469.36,8.17,49.04,0,0,0,8.17,8.17,281.96,0,0,12.26,0,0,0,0,0,0,4.09,0,0,0
72hpf,28.88,6.42,0,629.04,1.07,44.93,0,1.07,0,0,2.14,0,1.07,0,3.21,2.14,28.88,6097.81,8.56,59.91,0,5.35,4.28,1.07,310.24,149.77,1.07,0,67.4,1.07,0,0,20.33,2.14,0,4.28,0,0,0
21Day,25.43,2.68,4.02,3162.95,5.35,73.62,0,13.39,0,0,2.68,0,13.39,5.35,22.76,5.35,36.14,1781.59,10.71,64.25,0,0,9.37,0,85.67,40.16,0,0,33.46,53.54,0,0,9.37,12.05,37.48,6.69,0,0,12.05
3Month,1.6,7.04,8.96,4022.08,0,0,8.64,1.6,0.64,19.2,22.72,0.32,91.19,36.15,3.52,47.99,41.91,842.75,38.39,35.19,8.64,0.96,6.72,8,5.76,1.92,6.4,4.48,2.56,19.52,0.32,24.64,0.32,0.32,0,0,14.72,16.64,21.12
22Month,0,1.09,39.36,452.63,0.55,0,3.28,0.55,0,7.65,7.11,1.09,39.91,3.83,0,4.92,2.73,170.56,3.28,3.83,0.55,1.09,1.09,0,0.55,0,2.19,2.19,0.55,1.09,0,1.64,0.55,0.55,0,0,0,0,1.09
