stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Smooth_muscle_cell
24hpf,4.09,0,0,0,0,0,0,0,8.17,32.69,0,0
72hpf,1.07,0,0,0,0,0,0,1.07,18.19,5.35,1.07,0
21Day,1.34,0,0,0,1.34,0,1.34,4.02,18.74,5.35,0,0
3Month,0,0,0.32,0.32,0,0.32,0,0,0,0,0,0.32
22Month,0,0.55,1.09,0.55,0,0,0,0.55,0,0,0,0
